id	aligned	de	it	fr
0	3	('1', '00:00:02,080 --> 00:00:04,595', '. Mit')	('25', '00:02:50,689 --> 00:02:52,566', 'Ne volete ancora?')	('7', '00:00:24,323 --> 00:00:25,800', '-Que dis-tu ?')
1	3	('2', '00:00:04,753 --> 00:00:13,600', 'Untertiteln von SWISS TXT Wir sind halt noch aktive Rentnerinnen.')	('32', '00:03:46,107 --> 00:03:51,887', 'sottotitoli SWISS TXT Lugano')	('44', '00:03:58,816 --> 00:04:01,680', 'Sous-titrage SWISS TXT')
2	3	('3', '00:00:13,745 --> 00:00:16,680', 'Den lassen wir erst laufen, wenn es nötig ist.')	('29', '00:03:11,042 --> 00:03:21,807', 'Se sei in là con gli anni e non stai facendo nulla... Qui si trova la motivazione per rimboccarsi le maniche.')	('6', '00:00:23,128 --> 00:00:24,000', 'quand il faut.')
3	3	('4', '00:00:16,880 --> 00:00:18,320', 'Was sagst du?')	('25', '00:02:50,689 --> 00:02:52,566', 'Ne volete ancora?')	('7', '00:00:24,323 --> 00:00:25,800', '-Que dis-tu ?')
4	3	('7', '00:00:23,100 --> 00:00:30,040', 'Mit über 70 Jahren gehört Christl Fabris zu den ältesten Mitarbeiterinnen im Café Magnolia.')	('3', '00:00:19,009 --> 00:00:28,293', 'Con oltre 70 anni, Christl Fabris è una delle dipendenti più anziane del Café Magnolia, un bar riservato agli anziani.')	('11', '00:00:32,944 --> 00:00:37,280', 'C&apos;est l&apos;une des employées les plus âgées du café Magnolia.')
5	3	('8', '00:00:30,226 --> 00:00:35,960', 'Dreimal in der Woche servieren hier ausschliesslich Seniorinnen und Senioren.')	('4', '00:00:30,489 --> 00:00:37,373', 'Una volta in pensione, invece di rimanere a casa, è di turno al bar tre volte alla settimana.')	('12', '00:00:37,566 --> 00:00:42,400', 'Trois fois par semaine, le service est effectué par des seniors.')
6	3	('12', '00:00:49,994 --> 00:00:56,200', 'Ich finde es schön, wenn man noch etwas machen kann und in Gesellschaft ist.')	('15', '00:01:36,122 --> 00:01:45,405', 'E trovo che sia molto bello avere a che fare con persone della stessa età, perché così non devi cercare di stare al passo coi giovani.')	('27', '00:01:52,394 --> 00:01:57,400', 'Je trouve ça super de le faire aussi avec des personnes du même âge.')
7	3	('13', '00:00:56,348 --> 00:00:56,555', 'V.a.')	('2', '00:00:15,034 --> 00:00:16,853', "-E' vero, puoi ben dirlo.")	('1', '00:00:00,666 --> 00:00:02,000', '...')
8	3	('14', '00:00:56,693 --> 00:01:02,760', 'habe ich Menschen gerne, ich arbeite gerne in einem Café und mache den Menschen eine Freude.')	('6', '00:00:47,965 --> 00:00:53,974', 'Mi piace soprattutto stare in compagnia, lavorare al bar e rendere felici le persone.')	('17', '00:01:03,601 --> 00:01:10,320', 'J&apos;aime les gens, j&apos;aime travailler dans un café et faire plaisir aux autres.')
9	2	('15', '00:01:04,785 --> 00:01:10,280', 'Immer mehr Menschen werden immer älter und bleiben dabei länger bei guter Gesundheit.')	('7', '00:00:56,162 --> 00:01:02,135', 'La popolazione svizzera invecchia sempre di più e rimane in salute più a lungo.')	
10	3	('16', '00:01:14,545 --> 00:01:18,000', 'Das Bedürfnis, auch im Alter aktiv zu bleiben, steigt.')	('8', '00:01:05,176 --> 00:01:10,484', 'La necessità di rimanere attivi in età avanzata è in aumento.')	('19', '00:01:18,027 --> 00:01:21,560', 'Le besoin de rester actif est de plus en plus commun.')
11	3	('17', '00:01:19,185 --> 00:01:21,012', 'Der Verveine-Tee ist für Sie.')	('9', '00:01:11,062 --> 00:01:13,564', 'Il tè alla verbena di chi è?')	('20', '00:01:26,164 --> 00:01:28,440', '-La verveine est pour vous ?')
12	3	('18', '00:01:21,143 --> 00:01:21,600', '- Danke.')	('2', '00:00:15,034 --> 00:00:16,853', "-E' vero, puoi ben dirlo.")	('23', '00:01:39,764 --> 00:01:41,200', '-Ca fait du bien !')
13	3	('19', '00:01:22,626 --> 00:01:24,960', 'Der gekochte Schweppes kommt sofort.')	('17', '00:01:57,227 --> 00:02:00,623', 'Due caffè e una torta... Sono')	('21', '00:01:28,723 --> 00:01:31,640', 'Et le Schweppes vient tout de suite.')
14	3	('20', '00:01:27,872 --> 00:01:32,080', 'Das Café Magnolia ist zu einem Treffpunkt der Ü60 geworden.')	('11', '00:01:19,677 --> 00:01:23,774', 'Il Café Magnolia è diventato un luogo di incontro per gli over 60.')	('22', '00:01:31,934 --> 00:01:39,480', '-Le café Magnolia est donc devenu le lieu de rendez-vous pour les plus de 60 ans à Bâle.')
15	3	('21', '00:01:32,415 --> 00:01:39,160', 'Das tut einfach gut - lachen, konzentrieren, Rivalität, Teams ...')	('13', '00:01:26,774 --> 00:01:30,885', 'Si ride, si cerca di vincere da soli o in squadra.')	('24', '00:01:41,485 --> 00:01:46,120', 'Se concentrer, travailler en équipe, rire et s&apos;amuser;')
16	3	('22', '00:01:39,323 --> 00:01:41,240', 'Wir haben einfach alles.')	('2', '00:00:15,034 --> 00:00:16,853', "-E' vero, puoi ben dirlo.")	('25', '00:01:46,403 --> 00:01:48,320', 'nous avons tout ça ici !')
17	3	('23', '00:01:41,373 --> 00:01:44,400', 'Ich bin noch berufstätig und spiele sehr viel mit Kindern.')	('14', '00:01:31,881 --> 00:01:35,805', 'Gioco molto con i bambini, ancora adesso per professione.')	('26', '00:01:48,592 --> 00:01:52,120', 'Je joue beaucoup avec des enfants dans mon métier.')
18	3	('24', '00:01:44,548 --> 00:01:48,600', 'Ich finde es natürlich toll, das mit Gleichaltrigen zu tun.')	('12', '00:01:24,345 --> 00:01:26,205', "E' semplicemente bello.")	('27', '00:01:52,394 --> 00:01:57,400', 'Je trouve ça super de le faire aussi avec des personnes du même âge.')
19	3	('25', '00:01:49,682 --> 00:01:53,560', 'Da muss man sich nicht so mit der Jugend messen.')	('15', '00:01:36,122 --> 00:01:45,405', 'E trovo che sia molto bello avere a che fare con persone della stessa età, perché così non devi cercare di stare al passo coi giovani.')	('28', '00:01:57,763 --> 00:02:03,160', 'On doit pas se mesurer aux jeunes.')
20	3	('26', '00:01:53,714 --> 00:01:55,640', 'Ich finde es sehr spannend.')	('12', '00:01:24,345 --> 00:01:26,205', "E' semplicemente bello.")	('27', '00:01:52,394 --> 00:01:57,400', 'Je trouve ça super de le faire aussi avec des personnes du même âge.')
21	3	('27', '00:01:57,148 --> 00:02:04,000', 'Seit gut zwei Jahren mietet der gemeinnützige Verein Kosmos space das Haus neben der Sternwarte Basel.')	('16', '00:01:47,950 --> 00:01:56,445', 'Da 2 anni, l\'associazione "KOSMOS space" affitta questa casa che si trova accanto all\'Osservatorio di Basilea.')	('29', '00:02:10,058 --> 00:02:15,920', '-Depuis deux ans, l&apos;association KOSMOS loue une maison à côté de l&apos;observatoire de Bâle.')
22	3	('29', '00:02:16,625 --> 00:02:20,560', 'Zwei Kaffee und ein Kuchen, das sind 9 und 4 Fr., also 13 Fr.')	('17', '00:01:57,227 --> 00:02:00,623', 'Due caffè e una torta... Sono')	('31', '00:02:23,232 --> 00:02:28,560', '-Deux cafés et un gâteau, neuf et quatre, ça fait treize francs en tout.')
23	3	('30', '00:02:26,585 --> 00:02:30,040', 'Rund 20 Projekte haben die Senioren bereits initiiert.')	('19', '00:02:02,319 --> 00:02:05,885', "L'associazione ha già avviato una ventina di progetti.")	('32', '00:02:33,269 --> 00:02:35,960', '-Ces seniors ont déjà débuté 20 projets.')
24	3	('31', '00:02:30,788 --> 00:02:40,320', 'Neben dem Café gibt es Kinoabende, Musikunterricht oder aber, akutell, eine Fotoausstellung über die verschiedenen Facetten des Alters.')	('20', '00:02:06,449 --> 00:02:17,445', 'Oltre alla gestione del caffè, organizza serate di cinema, lezioni di musica e attualmente una mostra fotografica sui diversi volti della vecchiaia.')	('33', '00:02:36,231 --> 00:02:46,480', 'Outre la gestion du café, ils organisent des soirées cinéma, donnent des leçons de musique ou exposent des photos sur les facettes de l&apos;âge.')
25	3	('32', '00:02:40,469 --> 00:02:42,141', 'Ich hätte nie gedacht ...')	('21', '00:02:20,770 --> 00:02:24,086', 'Non avrei mai pensato che fosse lei, vero?')	('34', '00:02:46,744 --> 00:02:48,040', '-J&apos;y crois pas !')
26	3	('34', '00:02:44,596 --> 00:02:44,981', '(Mann)')	('2', '00:00:15,034 --> 00:00:16,853', "-E' vero, puoi ben dirlo.")	('4', '00:00:21,787 --> 00:00:21,921', '-On')
27	3	('35', '00:02:45,135 --> 00:02:46,520', 'Das ist doch super.')	('12', '00:01:24,345 --> 00:01:26,205', "E' semplicemente bello.")	('23', '00:01:39,764 --> 00:01:41,200', '-Ca fait du bien !')
28	3	('36', '00:02:46,665 --> 00:02:49,720', 'Ein Ort für Menschen, die noch einiges vorhaben.')	('22', '00:02:25,960 --> 00:02:29,526', 'Un luogo per persone che hanno ancora molto da fare.')	('36', '00:02:50,868 --> 00:02:56,080', '-Un lieu donc pour des personnes qui ont encore des projets plein la tête.')
