id	aligned	de	it	fr
0	3	('1', '00:00:01,600 --> 00:00:01,886', '. Mit')	('14', '00:01:58,875 --> 00:02:00,840', 'ANNEMARIE ACCETTA.')	('1', '00:00:09,253 --> 00:00:27,680', '...')
1	3	('2', '00:00:02,024 --> 00:00:06,160', 'Untertiteln von SWISS TXT * Drollige, erwartungsvolle Klänge *')	('8', '00:01:12,755 --> 00:01:18,200', "ANCHE ANNEMARIE SCHWARZENBACH SOGNA L'AVVENTURA.")	('2', '00:00:28,063 --> 00:00:32,880', '-Aujourd\'hui dans "Helveticus", Annemarie Schwarzenbach et Ella Maillart.')
2	3	('3', '00:00:28,385 --> 00:00:32,640', 'Heute in "Helveticus": Anne-Marie Schwarzenbach und Ella Maillart.')	('0', '00:00:05,600 --> 00:00:34,440', '* * * * * OGGI PARLIAMO DI ANNEMARIE SCHWARZENBACH ED ELLA MAILLART.')	('2', '00:00:28,063 --> 00:00:32,880', '-Aujourd\'hui dans "Helveticus", Annemarie Schwarzenbach et Ella Maillart.')
3	3	('4', '00:00:33,576 --> 00:00:37,080', 'Unsere Geschichte spielt in Genf und Zürich in den 30er-Jahren.')	('1', '00:00:34,586 --> 00:00:37,880', "LA STORIA INIZIA NEGLI ANNI '30.")	('3', '00:00:33,261 --> 00:00:37,000', 'Notre histoire commence à Genève et Zurich dans les années 30.')
4	3	('13', '00:01:07,297 --> 00:01:10,520', 'Deshalb gründet sie die erste Landhockey-Damenmannschaft.')	('7', '00:01:07,607 --> 00:01:12,440', 'HA CREATO LA PRIMA SQUADRA FEMMINILE DI HOCKEY SU PRATO.')	('10', '00:01:06,259 --> 00:01:12,320', "C'est pour cela qu'elle a créé la première équipe féminine de hockey sur gazon.")
5	3	('15', '00:01:16,240 --> 00:01:18,160', 'Anne-Marie Schwarzenbach.')	('8', '00:01:12,755 --> 00:01:18,200', "ANCHE ANNEMARIE SCHWARZENBACH SOGNA L'AVVENTURA.")	('2', '00:00:28,063 --> 00:00:32,880', '-Aujourd\'hui dans "Helveticus", Annemarie Schwarzenbach et Ella Maillart.')
6	3	('18', '00:01:26,254 --> 00:01:29,840', 'Manchmal geht es nicht so schnell vorwärts, wie sie es gerne hätte.')	('20', '00:02:55,903 --> 00:03:01,400', "ALCUNI PERSONAGGI A VOLTE APPAIONO UN PO' INQUIETANTI.")	('13', '00:01:27,343 --> 00:01:31,533', "Parfois, des événements inattendus l'empêchent d'avancer.")
7	3	('19', '00:01:29,982 --> 00:01:36,160', 'Anne-Marie nutzt jede Gelegenheit, um aufzuschreiben, was sie fühlt und um Fotos zu machen.')	('10', '00:01:30,192 --> 00:01:35,800', 'ANNEMARIE SCRIVE LE SUE SENSAZIONI E FA DELLE FOTO.')	('14', '00:01:31,665 --> 00:01:35,412', 'Annemarie en profite pour écrire et faire des photos.')
8	3	('20', '00:01:36,950 --> 00:01:41,880', 'Das ist der Beginn von vielen Reisen, Abenteuern und vielen Reportagen.')	('11', '00:01:36,587 --> 00:01:42,400', "E' L'INIZIO PER LEI DI UNA SERIE DI VIAGGI E AVVENTURE.")	('15', '00:01:35,547 --> 00:01:42,360', "C'est le début d'une longue série de voyages et d'aventures durant lesquels elle écrit des articles.")
9	3	('23', '00:01:57,835 --> 00:01:59,759', 'Anne-Marie sagt sofort ja.')	('14', '00:01:58,875 --> 00:02:00,840', 'ANNEMARIE ACCETTA.')	('20', '00:01:58,649 --> 00:02:00,720', 'Annemarie accepte sans hésiter.')
