id	aligned	de	it	fr
0	2		('1', '00:00:07,492 --> 00:00:12,805', '* Cosa')	('23', '00:01:51,740 --> 00:01:52,600', "c'est bon ?")
1	2		('2', '00:00:12,959 --> 00:00:14,732', "c'è nel menù di stasera?")	('2', '00:00:20,391 --> 00:00:22,880', "-Qu'est-ce qu'on a au menu ce soir ?")
2	2		('3', '00:00:15,985 --> 00:00:34,053', 'Abbiamo una tartare con condimenti fermentati e caviale di melanzane con hummus fatto in casa, con pralina di prezzemolo e cavolo fermentato.')	('3', '00:00:23,190 --> 00:00:29,480', '-On a un tartare avec des condiments différents fermentés.')
3	2		('4', '00:00:34,670 --> 00:00:36,643', "-Ed è solo l'antipasto.")	('47', '00:04:16,917 --> 00:04:18,233', '-Et on mange bien.')
4	2		('5', '00:00:36,822 --> 00:00:37,092', '-Sì.')	('8', '00:00:45,452 --> 00:00:45,840', '-Oui.')
5	2		('6', '00:00:39,867 --> 00:00:41,932', "E' un menù gastronomico.")	('9', '00:00:47,951 --> 00:00:50,520', "-C'est presque un menu gastronomique.")
6	2		('7', '00:00:42,556 --> 00:00:44,052', 'Penso di sì.')	('10', '00:00:50,912 --> 00:00:52,640', '-Je crois.')
7	2		('8', '00:00:45,183 --> 00:00:47,126', 'Sandro Mitri è italiano.')	('11', '00:00:52,921 --> 00:00:54,960', '-Sandro Mitri est italien.')
8	2		('9', '00:00:47,295 --> 00:00:50,253', "E' stato chef in strutture rinomate.")	('12', '00:00:55,225 --> 00:00:58,920', 'Il a été chef de cuisine dans des établissements réputés.')
9	2		('10', '00:00:50,581 --> 00:00:54,772', 'Ma da qualche mese lavora al "Refettorio" di Ginevra.')	('13', '00:00:59,193 --> 00:01:03,480', 'Depuis quelques mois, il travaille au Refettorio de Genève.')
10	2		('11', '00:00:57,189 --> 00:01:09,293', 'Mi piace molto la rigidità mentale della cucina stellata, ma non mi piace il fatto che si dia buon cibo solo ai ricchi.')	('15', '00:01:10,871 --> 00:01:19,960', "Mais ce que j'aime pas, c'est que tu donnes de la bonne nourriture toujours à l'enfant gâté.")
11	2		('12', '00:01:13,389 --> 00:01:16,574', "E' questa l'idea di questo ristorante:")	('17', '00:01:22,642 --> 00:01:25,600', "Et c'est ça, l'idée de ce restaurant.")
12	2		('13', '00:01:16,906 --> 00:01:21,858', 'dare buon cibo e buoni ingredienti a tutti, gratuitamente.')	('18', '00:01:25,885 --> 00:01:33,360', 'De donner de la bonne nourriture et des bons ingrédients à tout le monde, gratuitement.')
13	2		('14', '00:01:25,695 --> 00:01:29,498', 'Qui, ogni sera della settimana, è un pasto festivo.')	('19', '00:01:33,632 --> 00:01:37,640', "-Ici, tous les soirs de la semaine, c'est repas de fête.")
14	2		('15', '00:01:29,808 --> 00:01:34,214', 'Cucina di alta qualità e gratuita per chi non può permettersela.')	('20', '00:01:37,918 --> 00:01:45,240', "Une cuisine gratuite haut de gamme pour des personnes qui n'ont pas l'occasion de se l'offrir.")
15	2		('16', '00:01:37,829 --> 00:01:42,453', "C'è un antipasto, un piatto principale e un dessert.")	('21', '00:01:45,509 --> 00:01:48,960', '-En fait, il y a une entrée, un plat et un dessert.')
