id	aligned	de	it	fr
0	3	('1', '00:00:01,520 --> 00:00:01,856', '. Mit')	('9', '00:01:17,312 --> 00:01:19,280', "QUAL E' LA RICETTA?")	('30', '00:02:57,512 --> 00:02:57,730', 'Ah !')
1	2	('2', '00:00:02,027 --> 00:00:06,480', 'Untertiteln von SWISS TXT * Drollige, erwartungsvolle Musik *')	('22', '00:03:18,381 --> 00:03:25,040', "ORA IL PIATTO E' PRONTO, SI CHIAMA BIRCHER MUESLI.")	
2	3	('3', '00:00:28,352 --> 00:00:31,240', 'Heute in "Helveticus": das Birchermüesli.')	('22', '00:03:18,381 --> 00:03:25,040', "ORA IL PIATTO E' PRONTO, SI CHIAMA BIRCHER MUESLI.")	('2', '00:00:27,912 --> 00:00:31,520', '-Aujourd\'hui, dans "Helveticus", le Bircher muesli.')
3	3	('4', '00:00:32,745 --> 00:00:35,800', 'Unsere Geschichte spielt in Zürich im Jahr 1900.')	('1', '00:00:34,943 --> 00:00:38,760', 'LA STORIA SI SVOLGE A ZURIGO NEL 1900.')	('3', '00:00:32,551 --> 00:00:35,480', 'Notre histoire se passe à Zurich, en 1900.')
4	3	('6', '00:00:43,140 --> 00:00:50,440', 'Er ist nicht so zufrieden, weil seine Patient:innen, trotz allem, was er für sie macht, etwas eingerostet sind.')	('3', '00:00:45,762 --> 00:00:52,480', "E' PREOCCUPATO, PERCHE' I SUOI PAZIENTI NON SONO IN FORMA.")	('5', '00:00:42,751 --> 00:00:50,200', 'Il est inquiet car malgré ses efforts, ses patients ne sont pas très en forme mais semblent rouillés.')
5	3	('7', '00:00:52,960 --> 00:00:54,760', '* Blöken *')	('18', '00:02:41,432 --> 00:02:45,160', 'POI MELE E MIELE.')	('24', '00:02:33,709 --> 00:02:34,800', 'Meuglement.')
6	3	('11', '00:01:14,070 --> 00:01:17,240', 'Das ist sehr fein, was ist das für ein Rezept?')	('8', '00:01:16,109 --> 00:01:17,093', 'CHE BUONO!')	('10', '00:01:15,307 --> 00:01:17,000', 'Quelle est la recette ?')
7	3	('13', '00:01:29,280 --> 00:01:31,080', '* Würgen *')	('0', '00:00:04,040 --> 00:00:29,000', '* * * * * * * * * * * * * *')	('24', '00:02:33,709 --> 00:02:34,800', 'Meuglement.')
8	3	('14', '00:01:31,986 --> 00:01:33,920', 'Das ist nicht so gut geworden.')	('12', '00:01:33,253 --> 00:01:36,200', "MA QUESTO NON E' BUONO.")	('14', '00:01:30,048 --> 00:01:31,560', "Mais ce n'est pas bon.")
9	3	('15', '00:01:39,573 --> 00:01:43,999', 'Der zweite Versuch überzeugt auch nicht so ganz.')	('13', '00:01:41,383 --> 00:01:46,040', "E ANCHE IL SECONDO TENTATIVO E' UN INSUCCESSO!")	('18', '00:01:42,038 --> 00:01:43,760', "n'est pas plus concluant.")
10	3	('17', '00:02:05,413 --> 00:02:05,813', '* Er')	('0', '00:00:04,040 --> 00:00:29,000', '* * * * * * * * * * * * * *')	('30', '00:02:57,512 --> 00:02:57,730', 'Ah !')
11	2	('19', '00:02:07,280 --> 00:02:11,479', '* * Angestrengtes Stöhnen *')	('0', '00:00:04,040 --> 00:00:29,000', '* * * * * * * * * * * * * *')	
12	3	('24', '00:02:32,040 --> 00:02:33,737', '* *')	('0', '00:00:04,040 --> 00:00:29,000', '* * * * * * * * * * * * * *')	('1', '00:00:00,640 --> 00:00:26,640', '... ...')
13	3	('27', '00:02:38,160 --> 00:02:39,189', '* Es')	('0', '00:00:04,040 --> 00:00:29,000', '* * * * * * * * * * * * * *')	('1', '00:00:00,640 --> 00:00:26,640', '... ...')
14	3	('28', '00:02:39,458 --> 00:02:43,360', 'braucht Äpfel und etwas Honig.')	('7', '00:01:11,592 --> 00:01:15,960', "DI SICURO E' GRAZIE A QUELLO CHE MANGIA.")	('25', '00:02:38,955 --> 00:02:41,000', 'Ensuite, il faut des pommes.')
15	3	('29', '00:02:46,862 --> 00:02:51,733', '* Muhen * *')	('0', '00:00:04,040 --> 00:00:29,000', '* * * * * * * * * * * * * *')	('24', '00:02:33,709 --> 00:02:34,800', 'Meuglement.')
16	3	('31', '00:02:53,600 --> 00:02:54,317', '* Und')	('18', '00:02:41,432 --> 00:02:45,160', 'POI MELE E MIELE.')	('1', '00:00:00,640 --> 00:00:26,640', '... ...')
17	3	('34', '00:03:04,735 --> 00:03:05,782', '* Verspielte')	('0', '00:00:04,040 --> 00:00:29,000', '* * * * * * * * * * * * * *')	('24', '00:02:33,709 --> 00:02:34,800', 'Meuglement.')
18	3	('35', '00:03:05,973 --> 00:03:06,640', 'Klänge *')	('18', '00:02:41,432 --> 00:02:45,160', 'POI MELE E MIELE.')	('24', '00:02:33,709 --> 00:02:34,800', 'Meuglement.')
19	3	('37', '00:03:10,791 --> 00:03:12,720', 'Aber jetzt ist alles fertig.')	('20', '00:03:01,514 --> 00:03:04,440', 'BENE, ECCO IL GRANO!')	('31', '00:02:57,876 --> 00:02:58,821', 'Ca tombe bien.')
20	3	('38', '00:03:16,694 --> 00:03:19,720', 'Das Gericht heisst Birchermüesli.')	('22', '00:03:18,381 --> 00:03:25,040', "ORA IL PIATTO E' PRONTO, SI CHIAMA BIRCHER MUESLI.")	('35', '00:03:18,348 --> 00:03:20,600', "Il s'appellera le Bircher muesli.")
21	3	('40', '00:03:26,012 --> 00:03:35,160', 'Vielleicht ist nicht alles genau so passiert, aber noch heute ist das Birchermüesli ein berühmtes Gericht, nicht nur in der Schweiz, sondern auf der ganzen Welt.')	('23', '00:03:28,288 --> 00:03:37,960', "DA QUEL GIORNO IL BIRCHER MUESLI E' DIVENTATO MOLTO FAMOSO IN SVIZZERA E NEL MONDO INTERO.")	('37', '00:03:26,679 --> 00:03:36,280', "Tout ne s'est peut-être pas passé ainsi, mais depuis ce jour, le Bircher muesli est devenu réputé en Suisse et dans le monde entier.")
22	3	('41', '00:03:37,055 --> 00:03:37,614', 'SWISS TXT /')	('23', '00:03:28,288 --> 00:03:37,960', "DA QUEL GIORNO IL BIRCHER MUESLI E' DIVENTATO MOLTO FAMOSO IN SVIZZERA E NEL MONDO INTERO.")	('37', '00:03:26,679 --> 00:03:36,280', "Tout ne s'est peut-être pas passé ainsi, mais depuis ce jour, le Bircher muesli est devenu réputé en Suisse et dans le monde entier.")
23	2	('5', '00:00:36,606 --> 00:00:43,000', 'Das ist Doktor Bircher, der mit seiner Frau vor dem Spital einen kleinen Spaziergang macht.')		('4', '00:00:36,737 --> 00:00:42,360', 'Ce matin, le docteur Bircher sort de sa clinique pour se promener avec son épouse.')
24	2	('9', '00:01:01,945 --> 00:01:06,680', 'Der Doktor überlegt sich, was diese Frau anders macht, um so fit zu sein.')		('7', '00:01:01,778 --> 00:01:07,360', 'Intrigué, le docteur se demande ce qui peut bien la rendre en si grande forme.')
25	2	('10', '00:01:09,525 --> 00:01:12,360', 'Das ist sicher wegen ihres Essens.')		('8', '00:01:08,714 --> 00:01:11,920', "C'est certainement grâce à ce qu'elle mange.")
26	2	('12', '00:01:18,792 --> 00:01:27,440', 'Doktor Bircher ist fasziniert und möchte herausfinden, wie er für seine Patient:innen ein gesundes, feines Essen machen könnte.')		('12', '00:01:20,597 --> 00:01:27,600', 'Il a envie de trouver un plat sain et équilibré qui donnerait de la vitalité à ses patients.')
27	2	('16', '00:01:48,578 --> 00:01:55,440', 'Deshalb geht der Doktor zurück zur Schäferin, vielleicht ist sie einverstanden und gibt ihm ihr feines Rezept.')		('22', '00:02:17,424 --> 00:02:24,440', 'Le docteur est heureux car la bergère lui livre la recette du plat qui la maintient en pleine forme.')
28	2	('18', '00:02:06,080 --> 00:02:07,013', 'schreit.')		('13', '00:01:29,472 --> 00:01:29,904', 'Beurk !')
29	2	('20', '00:02:12,972 --> 00:02:18,160', 'Was gibt es besseres, um sich von diesem Schreck zu erholen, als zusammen etwas feines essen?')		('21', '00:02:12,471 --> 00:02:17,040', "Pour se remettre de ses émotions, rien de mieux qu'un bon goûter.")
30	2	('21', '00:02:18,296 --> 00:02:24,440', 'Der Doktor ist überglücklich, als die Frau ihm erklärt, wie sie ihr feines, gesundes Essen zubereitet.')		('22', '00:02:17,424 --> 00:02:24,440', 'Le docteur est heureux car la bergère lui livre la recette du plat qui la maintient en pleine forme.')
31	2	('22', '00:02:24,580 --> 00:02:27,440', 'Für das feine Rezept braucht man zunächst Milch.')		('23', '00:02:24,833 --> 00:02:28,800', 'Pour réaliser la recette, il faut du lait.')
32	2	('25', '00:02:34,013 --> 00:02:36,293', 'Wütendes Muhen * *')		('16', '00:01:40,928 --> 00:01:41,360', 'Dégoût.')
33	2	('32', '00:02:54,502 --> 00:02:57,280', 'zum Schluss unbedingt Getreide.')		('29', '00:02:53,154 --> 00:02:57,120', 'Et pour finir, il faut impérativement des céréales.')
34	2	('33', '00:02:57,923 --> 00:03:01,080', 'Was für ein Zufall, hier hat es Weizen.')		('32', '00:02:58,967 --> 00:02:59,840', 'Voici du blé.')
35	2	('36', '00:03:07,589 --> 00:03:10,640', 'Es war nicht einfach, alle Zutaten zu finden.')		('33', '00:03:07,754 --> 00:03:13,120', "Ce n'était pas facile, mais finalement, tous les ingrédients sont réunis.")
36	2	('39', '00:03:23,546 --> 00:03:25,880', 'Das ist das Ende unserer Geschichte.')		('36', '00:03:23,105 --> 00:03:26,541', "C'est ainsi que se termine notre histoire.")
37	2		('5', '00:00:59,146 --> 00:01:06,000', "MA ECCO UN'ANZIANA CONTADINA, CHE NON SEMBRA ARRUGGINITA.")	('6', '00:00:57,103 --> 00:01:01,648', "Voilà une bergère qui, malgré son grand âge, n'a pas l'air rouillée.")
