id	aligned	de	it	fr
0	3	('1', '00:00:01,520 --> 00:00:01,856', '. Mit')	('13', '00:02:21,643 --> 00:02:24,320', 'UNA VALANGA!')	('1', '00:00:10,600 --> 00:00:31,800', '...')
1	2	('2', '00:00:02,027 --> 00:00:06,480', 'Untertiteln von SWISS TXT * Drollige, erwartungsvolle Musik *')	('16', '00:02:36,188 --> 00:02:40,520', "UNO SVENTURATO E' BLOCCATO SOTTO LA NEVE!")	
2	2	('3', '00:00:28,356 --> 00:00:31,800', 'Heute in "Helveticus": Barry, der Lawinenhund.')	('12', '00:02:13,122 --> 00:02:21,000', 'MENTRE BARRY RINCORRE UNA MARMOTTA, UN RUMORE RISUONA TRA LE MONTAGNE.')	
3	3	('4', '00:00:32,622 --> 00:00:36,720', 'Unsere Geschichte spielt im Jahr 1807 auf dem Grossen St. Bernhard.')	('1', '00:00:34,271 --> 00:00:38,560', 'LA STORIA SI SVOLGE SUL COLLE DEL GRAN SAN BERNARDO NEL 1807.')	('2', '00:00:32,185 --> 00:00:36,280', '-Notre histoire se passe au col du Grand-Saint-Bernard, en 1807.')
4	3	('6', '00:00:41,578 --> 00:00:47,280', 'Trotzdem sind viele Leute unterwegs über den Berg nach Italien, sogar zu Fuss.')	('2', '00:00:39,320 --> 00:00:46,160', "LA STRADA E' DIFFICILE, MA MOLTI LA PRENDONO PER ANDARE IN ITALIA.")	('3', '00:00:38,039 --> 00:00:46,480', "A cette époque, la route du col est difficile, mais beaucoup l'empruntent pour aller en Italie, même à pied.")
5	3	('7', '00:00:52,098 --> 00:01:00,640', 'Auf dem Gipfel gibt es ein Hospiz, ein Haus, in dem sich die Reisenden ausruhen, aufwärmen und die Gastfreundschaft der Mönche geniessen können.')	('3', '00:00:50,030 --> 00:01:01,360', "IN CIMA ALLA MONTAGNA C'E' UN RIFUGIO DOVE I VIAGGIATORI POSSONO RIPOSARSI E APPROFITTARE DELL'OSPITALITA' DEI CANONICI.")	('5', '00:00:52,103 --> 00:01:00,080', "-Au sommet de la montagne, il y a un hospice où les voyageurs peuvent profiter de l'hospitalité des chanoines.")
6	3	('8', '00:01:01,463 --> 00:01:01,875', '* Ein')	('19', '00:03:09,815 --> 00:03:13,200', 'IL GIORNO DOPO SI RIPARTE.')	('1', '00:00:10,600 --> 00:00:31,800', '...')
7	3	('10', '00:01:03,320 --> 00:01:03,650', '* Hier')	('0', '00:00:04,040 --> 00:00:29,080', '* * * * * * * * * * * * * *')	('20', '00:02:19,181 --> 00:02:20,200', 'Grondement.')
8	3	('13', '00:01:27,080 --> 00:01:30,600', 'Jetzt heisst es reingehen und sich aufwärmen.')	('5', '00:01:23,769 --> 00:01:32,640', 'MA IN MONTAGNA IL TEMPO CAMBIA IN FRETTA, BISOGNA RIENTRARE PER STARE AL CALDO.')	('10', '00:01:27,065 --> 00:01:29,280', 'Il faut rentrer se mettre au chaud.')
9	3	('18', '00:01:55,705 --> 00:01:59,720', 'Sie müssen jetzt rein, aber Barry möchte lieber weiterspielen.')	('9', '00:01:57,724 --> 00:02:01,960', "E' ORA DI RIENTRARE, MA BARRY VUOLE GIOCARE ANCORA.")	('15', '00:01:56,428 --> 00:02:01,320', '"Allez, il est temps "de rentrer !" Mais Barry veut encore jouer.')
