id	aligned	de	it	fr
0	2	('2', '00:00:02,027 --> 00:00:06,480', 'Untertiteln von SWISS TXT * Drollige, erwartungsvolle Musik *')	('12', '00:01:54,080 --> 00:01:58,320', "SI CHIAMERA' HEIDI, SARA' PIENA DI ENERGIA E CORAGGIO.")	
1	3	('3', '00:00:28,329 --> 00:00:31,560', 'Heute in "Helveticus": Johanna Spyri.')	('2', '00:00:43,667 --> 00:00:47,960', 'ECCO JOHANNA SPYRI E SUO FIGLIO BERNHARD.')	('2', '00:00:27,952 --> 00:00:31,280', '-Aujourd\'hui, dans "Helveticus", Johanna Spyri.')
2	3	('4', '00:00:31,705 --> 00:00:35,360', 'Unsere Geschichte spielt irgendwo im Bündnerland um 1880.')	('1', '00:00:33,398 --> 00:00:39,080', 'LA STORIA SI SVOLGE NEI GRIGIONI INTORNO AL 1880.')	('3', '00:00:31,673 --> 00:00:36,280', 'Notre histoire se passe quelque part dans les Grisons vers 1880.')
3	2	('9', '00:00:57,895 --> 00:00:58,942', '* Verträumte')	('0', '00:00:04,040 --> 00:00:28,920', '* * * * * * * * * * * * * *')	
4	3	('10', '00:00:59,133 --> 00:00:59,800', 'Klänge *')	('0', '00:00:04,040 --> 00:00:28,920', '* * * * * * * * * * * * * *')	('21', '00:02:59,580 --> 00:03:00,480', 'On frappe.')
5	2	('14', '00:01:24,932 --> 00:01:28,080', 'Auf den Feldern sieht sie Kinder, die schwer arbeiten müssen.')	('8', '00:01:26,973 --> 00:01:31,200', 'MA NON LE PIACE VEDERE I BAMBINI CHE LAVORANO.')	
6	3	('24', '00:02:28,144 --> 00:02:32,159', 'Dieser kleine verspielte, aber liebe Geissenhirt heisst Peter.')	('16', '00:02:31,548 --> 00:02:36,120', 'QUESTO PICCOLO PASTORE BIRICHINO, MA MOLTO GENTILE, SI CHIAMA PETER.')	('17', '00:02:26,613 --> 00:02:31,480', "Ce petit berger espiègle mais très gentil s'appelle Peter.")
7	2	('29', '00:02:50,987 --> 00:02:53,000', 'Bald ist es fertig geschrieben.')	('20', '00:03:00,668 --> 00:03:13,920', 'BUSSANO JOHANNA RICEVE UN MESSAGGIO: DEVE PARTIRE SUBITO!')	
8	3	('32', '00:03:10,340 --> 00:03:12,240', 'Sie muss sofort los.')	('20', '00:03:00,668 --> 00:03:13,920', 'BUSSANO JOHANNA RICEVE UN MESSAGGIO: DEVE PARTIRE SUBITO!')	('23', '00:03:09,508 --> 00:03:11,680', 'Elle doit partir immédiatement.')
9	3	('33', '00:03:13,665 --> 00:03:14,086', '* Der')	('0', '00:00:04,040 --> 00:00:28,920', '* * * * * * * * * * * * * *')	('1', '00:00:00,640 --> 00:00:27,560', '... ...')
