id	aligned	de	it	fr
0	3	('1', '00:00:02,206 --> 00:00:04,738', '. Mit')	('1', '00:00:07,536 --> 00:00:08,476', '* Il')	('1', '00:01:00,720 --> 00:01:02,160', '...')
1	3	('2', '00:00:04,876 --> 00:00:06,532', 'Untertiteln von SWISS TXT')	('47', '00:04:05,997 --> 00:04:16,970', 'sottotitoli SWISS TXT Lugano sottotitoli SWISS TXT Lugano')	('46', '00:04:55,890 --> 00:04:57,800', 'Sous-titrage SWISS TXT')
2	3	('3', '00:00:07,237 --> 00:00:09,252', 'Es ist ein plakativer Vergleich.')	('2', '00:00:08,617 --> 00:00:10,455', 'confronto è impressionante.')	('10', '00:01:53,749 --> 00:01:56,680', "Si c'est le cas, il faut bien les observer.")
3	2	('4', '00:00:09,941 --> 00:00:13,130', 'In den 70er-Jahren haben sich Kinder 3 - 4 Std. pro Tag bewegt.')	('3', '00:00:10,772 --> 00:00:15,175', "Negli anni '70, i bambini passavano in media 3-4 ore in movimento.")	
4	2	('5', '00:00:13,860 --> 00:00:17,337', 'Heutzutage sind das ungefähr noch 1 Std.')	('4', '00:00:15,501 --> 00:00:18,536', "Oggi è un'ora, al massimo un'ora e mezza.")	
5	2	('7', '00:00:18,746 --> 00:00:24,771', 'Die sitzende Zeit hat stark zugenommen, sei das in der Schule, vor dem Computer oder dem Fernsehen.')	('5', '00:00:19,095 --> 00:00:25,615', 'Il tempo che trascorrono seduti è aumentato in modo drammatico, sia a scuola che davanti a computer o TV.')	
6	3	('8', '00:00:25,488 --> 00:00:30,492', 'Und das wirkt sich negativ auf die Kinder und ihre Gesundheit aus.')	('6', '00:00:25,926 --> 00:00:30,495', 'Tutto ciò ha un impatto negativo sui bambini e sulla loro salute.')	('33', '00:03:44,927 --> 00:03:52,120', "Ca peut conduire à des difficultés à l'école, et donc à de moins bons résultats.")
7	2	('9', '00:00:31,558 --> 00:00:33,571', 'Geht es nicht mit runternehmen?')	('7', '00:00:32,415 --> 00:00:33,939', 'Riesci a tirarlo giù?')	
8	3	('10', '00:00:34,258 --> 00:00:37,291', 'Angela Fernandes bereitet die Sporthalle für über 100 Kinder vor.')	('8', '00:00:34,240 --> 00:00:37,897', 'Angela Fernandes prepara la palestra per oltre 100 bambini.')	('2', '00:01:19,390 --> 00:01:25,160', "-Ce matin, Angela Fernandes prépare la salle de sport pour une centaine d'enfants.")
9	3	('11', '00:00:38,032 --> 00:00:39,251', 'Oh, Scheisse!')	('25', '00:02:23,255 --> 00:02:25,935', 'Come qui, a Spreitenbach, nel Canton Argovia.')	('1', '00:01:00,720 --> 00:01:02,160', '...')
10	3	('12', '00:00:39,951 --> 00:00:41,331', 'Es ist nicht eingehängt.')	('40', '00:03:38,869 --> 00:03:40,411', 'Così va bene.')	('44', '00:04:41,701 --> 00:04:42,720', "C'est cool.")
11	3	('13', '00:00:42,436 --> 00:00:45,171', 'Es ist zu anstrengend, beides aufzustellen.')	('9', '00:00:38,695 --> 00:00:42,566', 'Non ha senso metterli entrambi, è troppo faticoso.')	('3', '00:01:25,429 --> 00:01:29,120', "-Pas la peine de mettre les deux, c'est trop fatigant.")
12	3	('14', '00:00:45,856 --> 00:00:47,890', 'Ihr könnt die Ringe aufstellen, das ist okay.')	('10', '00:00:43,313 --> 00:00:45,247', 'Sì, metti gli anelli.')	('4', '00:01:29,388 --> 00:01:30,760', 'Installe les anneaux.')
13	3	('15', '00:00:48,582 --> 00:00:56,171', 'Seit 23 Jahren schafft die Stiftung IdeeSport mit den offenen Sporthallen einen Ort, an dem sich Kinder bewegen und austoben können.')	('11', '00:00:48,622 --> 00:00:57,929', 'Da 23 anni, con il progetto Palestre Aperte, la Fondazione IdéeSport offre un luogo dove i bambini possono fare ginnastica e sfogarsi.')	('5', '00:01:31,030 --> 00:01:40,520', '-Depuis 23 ans, IdéeSport donne accès à des salles de sport en hiver pour permettre aux enfants de se retrouver et de se dépenser.')
14	3	('16', '00:00:56,904 --> 00:00:57,651', 'Sehr gut.')	('40', '00:03:38,869 --> 00:03:40,411', 'Così va bene.')	('44', '00:04:41,701 --> 00:04:42,720', "C'est cool.")
15	3	('17', '00:00:58,340 --> 00:01:03,610', 'Das Schwierigste ist einzuschätzen, wie die Kinder hierherkommen, wie ihre Stimmung ist.')	('12', '00:00:58,714 --> 00:01:06,572', "La cosa più difficile è valutare in che condizione i bambini arrivano in palestra, qual è il loro stato d'animo.")	('6', '00:01:40,801 --> 00:01:46,640', "-Le plus dur est d'évaluer dans quel état d'esprit les enfants arrivent.")
16	3	('18', '00:01:04,321 --> 00:01:06,651', 'Machen sie eher mit, hören sie zu?')	('13', '00:01:07,162 --> 00:01:12,777', 'Stanno bene, ascoltano e giocano insieme o sono aggressivi?')	('8', '00:01:48,040 --> 00:01:50,440', 'Sont-ils attentifs et coopératifs ?')
17	3	('21', '00:01:13,846 --> 00:01:18,611', 'Es kann gefährlich werden, wenn sie einander beleidigen oder schubsen.')	('14', '00:01:13,323 --> 00:01:21,095', 'Perché, se lo sono, allora bisogna controllarli, altrimenti diventa pericoloso, se spingono o insultano i compagni.')	('11', '00:01:56,948 --> 00:02:00,840', "Ca peut devenir dangereux s'ils se poussent, se disputent.")
18	3	('22', '00:01:19,330 --> 00:01:20,690', 'Das kann ausarten.')	('2', '00:00:08,617 --> 00:00:10,455', 'confronto è impressionante.')	('10', '00:01:53,749 --> 00:01:56,680', "Si c'est le cas, il faut bien les observer.")
19	3	('23', '00:01:21,599 --> 00:01:24,531', 'Das ist wiederum auch ein Sicherheitsrisiko.')	('15', '00:01:22,011 --> 00:01:28,569', "C'è la possibilità di perdere il controllo della situazione e ciò è un rischio per la sicurezza.")	('13', '00:02:03,432 --> 00:02:07,120', 'Ca peut ensuite entraîner des problèmes de sécurité.')
20	3	('24', '00:01:25,224 --> 00:01:27,890', 'Aber sonst haben es die Kinder recht gut im Griff.')	('16', '00:01:28,893 --> 00:01:31,970', 'Ma i bambini sanno come devono comportarsi.')	('42', '00:04:29,388 --> 00:04:34,760', 'Souvent, les enfants en situation de handicap ne se sentent pas concernés.')
21	3	('25', '00:01:28,581 --> 00:01:31,691', 'Sie wissen, dass es Konsequenzen hat, wenn sie Blödsinn machen.')	('14', '00:01:13,323 --> 00:01:21,095', 'Perché, se lo sono, allora bisogna controllarli, altrimenti diventa pericoloso, se spingono o insultano i compagni.')	('15', '00:02:10,669 --> 00:02:14,560', "S'ils ne se comportent pas bien, il y a des conséquences.")
22	3	('26', '00:01:32,386 --> 00:01:35,371', 'Viele Kinder leiden an Bewegungsmangel, sagt IdeeSport.')	('42', '00:03:47,083 --> 00:03:50,340', 'Spesso i bambini con handicap si sentono emarginati.')	('42', '00:04:29,388 --> 00:04:34,760', 'Souvent, les enfants en situation de handicap ne se sentent pas concernés.')
23	3	('27', '00:01:36,058 --> 00:01:45,810', 'Neun von zehn Kindern sitzen mehrheitlich vor dem Computer, gamen oder schauen lieber fern, als sich zu bewegen, zeigt eine Studie der Zürcher Hochschule für Angewandte Wissenschaften.')	('17', '00:01:32,534 --> 00:01:46,448', "Uno studio dell'Università di Scienze applicate di Zurigo mostra che 9 bambini su 10 preferiscono stare seduti davanti al computer coi videogiochi o guardare la TV, piuttosto che uscire all'aperto e muoversi.")	('17', '00:02:20,906 --> 00:02:28,680', 'Selon la Haute école des sciences appliquées de Zurich, 9 enfants sur 10 passent leur temps devant des écrans.')
24	3	('28', '00:01:46,497 --> 00:01:48,891', 'Sport ist wichtig, weil man sich körperlich betätigt.')	('18', '00:01:47,006 --> 00:01:53,132', "Lo sport è importante perché è un'attività fisica, mantiene sani e in forma e unisce le persone.")	('18', '00:02:28,948 --> 00:02:36,800', "-Le sport est important, car c'est une activité physique qui permet de rester en forme, et de rassembler les gens.")
25	3	('29', '00:01:49,577 --> 00:01:52,491', 'Man bleibt gesund und fit und v.a. bringt Sport Leute zusammen.')	('18', '00:01:47,006 --> 00:01:53,132', "Lo sport è importante perché è un'attività fisica, mantiene sani e in forma e unisce le persone.")	('18', '00:02:28,948 --> 00:02:36,800', "-Le sport est important, car c'est une activité physique qui permet de rester en forme, et de rassembler les gens.")
26	3	('31', '00:01:56,216 --> 00:02:02,170', 'Irgendwie funktioniert es, dass sie z.B. zusammen Fussball spielen oder miteinander klettern - Sport verbindet.')	('20', '00:01:59,113 --> 00:02:03,049', 'giocano a calcio o a palla da seduti o scalano le parallele.')	('21', '00:02:44,755 --> 00:02:48,000', 'Ils jouent au foot ensemble, ils grimpent...')
27	3	('32', '00:02:02,862 --> 00:02:04,971', 'Er macht zusammen mehr Freude als alleine.')	('21', '00:02:03,372 --> 00:02:05,371', 'Insieme ci si diverte di più.')	('29', '00:03:19,152 --> 00:03:21,240', "Donc je m'amuse bien avec eux.")
28	3	('33', '00:02:07,388 --> 00:02:10,772', 'Die offenen Sporthallen sollen Kinder zur Bewegung animieren.')	('22', '00:02:06,207 --> 00:02:11,299', 'Palestre Aperte ha lo scopo di incoraggiare i bambini a fare ginnastica.')	('5', '00:01:31,030 --> 00:01:40,520', '-Depuis 23 ans, IdéeSport donne accès à des salles de sport en hiver pour permettre aux enfants de se retrouver et de se dépenser.')
29	2	('34', '00:02:11,462 --> 00:02:17,409', 'Gerade in der kalten Jahreszeit fehlt laut IdeeSport ein kostenloses Angebot, das für alle offen ist.')	('23', '00:02:11,629 --> 00:02:18,054', "Secondo IdéeSport, ciò che manca, soprattutto in inverno, è un'offerta gratuita aperta a tutti.")	
30	3	('35', '00:02:18,102 --> 00:02:23,410', 'Fast 50 Open Sundays gibt es in der Schweiz - so wie hier in Spreitenbach im Kanton Aargau.')	('24', '00:02:18,618 --> 00:02:22,939', 'In Svizzera vengono organizzate circa 50 domeniche in palestra.')	('26', '00:03:00,546 --> 00:03:07,040', 'Il existe 50 programmes OpenSunday en Suisse, comme ici à Spreitenbach en Argovie.')
31	3	('36', '00:02:25,924 --> 00:02:30,732', 'Weil man hier Sport macht und ich mit meinen Freundinnen sein kann.')	('26', '00:02:26,960 --> 00:02:30,541', 'Qui posso fare sport e stare con i miei amici.')	('27', '00:03:08,460 --> 00:03:14,080', '-Ici, on peut faire du sport, et je retrouve mes copines.')
32	3	('37', '00:02:31,421 --> 00:02:34,330', 'Meistens kommen Leute hierher, die ich nicht so oft sehe.')	('27', '00:02:32,496 --> 00:02:35,538', 'Qui vengono bambini che non vedo spesso.')	('28', '00:03:14,349 --> 00:03:18,880', '-La plupart des enfants qui viennent ici, je les vois pas souvent.')
33	3	('38', '00:02:35,025 --> 00:02:38,090', 'Dann kann ich mit ihnen spielen und das macht mir Spass.')	('28', '00:02:35,856 --> 00:02:38,218', 'Gioco con loro ed è divertente.')	('29', '00:03:19,152 --> 00:03:21,240', "Donc je m'amuse bien avec eux.")
34	3	('39', '00:02:41,477 --> 00:02:46,890', 'Jedes sechste Kind hat Übergewicht, sagt die Stiftung Gesundheitsförderung Schweiz.')	('29', '00:02:39,506 --> 00:02:46,453', 'Un bambino su 6 è in sovrappeso, afferma Radix, la fondazione svizzera per la promozione della salute.')	('30', '00:03:21,526 --> 00:03:28,040', '-Un enfant sur six est en surpoids en Suisse selon la fondation Promotion Santé.')
