id	aligned	de	it	fr
0	2	('2', '00:00:02,093 --> 00:00:06,480', 'Untertiteln von SWISS TXT * Drollige, erwartungsvolle Musik *')	('5', '00:01:07,619 --> 00:01:13,560', "SI UNISCE ALL'ESERCITO DI DUFOUR NELLA GUERRA DEL SONDERBUND.")	
1	3	('3', '00:00:28,405 --> 00:00:31,480', 'Heute in "Helveticus": Vincenzo Vela.')	('9', '00:01:38,583 --> 00:01:41,880', "PER VINCENZO E' UNA GIUSTA CAUSA.")	('2', '00:00:28,111 --> 00:00:31,320', '-Aujourd\'hui dans "Helveticus", Vincenzo Vela.')
2	3	('4', '00:00:32,210 --> 00:00:35,759', 'Unsere Geschichte spielt 1848 im Tessin.')	('1', '00:00:32,253 --> 00:00:36,600', 'SIAMO IN TICINO, NEL 1848.')	('3', '00:00:31,767 --> 00:00:35,440', 'Notre histoire commence au Tessin, en 1848.')
3	3	('5', '00:00:37,375 --> 00:00:39,520', 'Vincenzo Vela ist ein grosser Bildhauer.')	('2', '00:00:36,715 --> 00:00:44,240', "VELA E' UN GRANDE SCULTORE E HA IMPARATO IL MESTIERE DA GIOVANISSIMO.")	('4', '00:00:36,871 --> 00:00:39,440', 'Vincenzo Vela est un grand sculpteur.')
4	3	('10', '00:00:57,985 --> 00:01:02,640', 'Vincenzo hat auch keine Angst, für seine Ansichten und Ideen zu kämpfen.')	('4', '00:00:58,067 --> 00:01:07,520', "NON E' SOLO UN BRILLANTE SCULTORE, MA ANCHE UNO CHE SI BATTE PER LE SUE IDEE.")	('8', '00:00:57,311 --> 00:01:02,800', 'Mais Vincenzo est aussi un homme prêt à se battre pour faire valoir ses idées.')
5	3	('12', '00:01:08,592 --> 00:01:11,720', 'Und Vincenzo schliesst sich ihnen sofort an.')	('6', '00:01:13,828 --> 00:01:23,640', "LA GUERRA E' BREVE E VINCENZO RIPRENDE RAPIDAMENTE IL SUO LAVORO.")	('10', '00:01:10,516 --> 00:01:12,000', 'Vincenzo se joint à eux !')
6	3	('16', '00:01:30,256 --> 00:01:35,120', 'Jetzt gehen sie nach Italien, wo sie eine Region von den Österreichern befreien wollen.')	('7', '00:01:26,659 --> 00:01:32,240', 'ECCO DEI SOLDATI CHE VANNO IN GUERRA, STAVOLTA IN ITALIA!')	('13', '00:01:30,462 --> 00:01:31,785', 'Cette fois, en Italie.')
7	3	('22', '00:01:56,903 --> 00:02:03,320', 'Die eigene Meinung und Ideen können auch über Kunst und Bildhauerei zum Ausdruck gebracht werden.')	('13', '00:01:59,503 --> 00:02:06,520', "SI POSSONO ESPRIMERE LE PROPRIE IDEE ATTRAVERSO L'ARTE E LA SCULTURA.")	('21', '00:01:57,102 --> 00:02:01,800', "On peut toujours exprimer ses idées à travers l'art et la sculpture.")
8	3	('25', '00:02:15,973 --> 00:02:20,760', 'Dank seines Talents wird Vincenzo sogar Professor an der Kunstakademie in Turin.')	('2', '00:00:36,715 --> 00:00:44,240', "VELA E' UN GRANDE SCULTORE E HA IMPARATO IL MESTIERE DA GIOVANISSIMO.")	('24', '00:02:16,022 --> 00:02:20,680', 'Vincenzo est invité à devenir professeur aux Beaux-Arts de Turin.')
9	3	('26', '00:02:20,897 --> 00:02:26,720', 'Für ihn ist wichtig, dass Skulpturen Emotionen wecken, sie eine Aussage haben.')	('17', '00:02:22,965 --> 00:02:28,240', 'LE SCULTURE DEVONO FAR PROVARE EMOZIONI O TRASMETTERE MESSAGGI.')	('25', '00:02:21,102 --> 00:02:26,640', 'Pour lui, les sculptures doivent faire ressentir des émotions et passer des messages.')
